,CLOUDY_PIXEL_PERCENTAGE,CLOUD_COVERAGE_ASSESSMENT,CLOUD_SHADOW_PERCENTAGE,HIGH_PROBA_CLOUDS_PERCENTAGE,MEAN_SOLAR_AZIMUTH_ANGLE,MEAN_SOLAR_ZENITH_ANGLE,MEDIUM_PROBA_CLOUDS_PERCENTAGE,NODATA_PIXEL_PERCENTAGE,NOT_VEGETATED_PERCENTAGE,SNOW_ICE_PERCENTAGE,THIN_CIRRUS_PERCENTAGE,VEGETATION_PERCENTAGE,WATER_PERCENTAGE,Systemindex
2878,56.60256,56.60256,0.012698,34.808758,117.698381030039,18.7521790425594,21.793802,36.975193,27.000982,11.686062,0.0,0.001506,1.687757,20200526T042711_20200526T043955_T46RCV
2879,86.69494,86.69494,0.0,35.747653,106.389108382297,15.9402923943718,50.726449,6.442988,0.005057,13.262777,0.220837,0.0,0.02115,20200526T042711_20200526T043955_T46RDQ
2880,92.889334,92.889334,0.013573,78.209025,109.276993625727,16.2716239060287,14.680018,0.0,0.112133,6.674287,0.000292,0.032657,0.00863,20200526T042711_20200526T043955_T46RDR
2881,79.257551,79.257551,0.024416,64.21929,112.039279385169,16.6437351586703,15.038261,0.0,0.182484,19.762151,0.0,0.012711,0.011735,20200526T042711_20200526T043955_T46RDS
2882,73.790866,73.790866,0.001214,33.816728,114.669627874077,17.0536411842224,39.974138,0.0,0.005932,25.889036,0.0,0.000866,0.000156,20200526T042711_20200526T043955_T46RDT
2883,86.064631,86.064631,0.019967,20.75724,117.169054406014,17.4991174320861,65.307391,0.0,2.808096,10.197302,0.0,0.00425,0.000892,20200526T042711_20200526T043955_T46RDU
2884,84.976306,84.976306,0.0,26.888439,107.771869629225,15.0919770752984,57.700002,95.031774,0.019233,14.978015,0.387865,0.0,0.012755,20200526T042711_20200526T043955_T46REQ
2885,92.74829,92.74829,0.0,51.805514,110.809717959377,15.4377749529466,40.941647,74.741274,0.000118,7.24279,0.00113,0.0,9.2e-05,20200526T042711_20200526T043955_T46RER
2886,85.988572,85.988572,0.08295,49.374393,113.703704506083,15.8258078093697,36.61418,52.818149,0.02599,12.382262,0.0,0.201024,0.002039,20200526T042711_20200526T043955_T46RES
2887,75.745198,75.745198,0.001764,42.635357,116.447982918034,16.2526704648547,33.109841,30.980149,0.006278,23.831764,0.0,0.001687,3.4e-05,20200526T042711_20200526T043955_T46RET
2888,93.707429,93.707429,0.000288,14.612399,119.044605889197,16.7158572415906,79.09503,9.133171,0.002158,6.182624,0.0,0.002768,0.000263,20200526T042711_20200526T043955_T46REU
2889,88.624004,88.624004,1.7e-05,24.211052,121.493383590122,17.2121482636295,64.412951,61.62079,0.184854,10.675511,0.0,0.002957,0.001383,20200526T042711_20200526T043955_T46REV
2890,78.193262,78.193262,0.0,25.278375,121.053885412807,15.9431917125076,52.914888,97.014689,0.026229,20.095979,0.0,0.038676,0.0,20200526T042711_20200526T043955_T46RFU
2891,81.837776,81.837776,0.0,12.096681,123.583100857346,16.4589148912512,69.741094,96.808493,0.009668,17.023781,0.0,0.03441,0.0,20200526T042711_20200526T043955_T46RFV
2892,100.0,100.0,0.0,0.0,107.887581419275,18.6922849989609,100.0,93.654633,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RLM
2893,100.0,100.0,0.0,0.0,109.244956833231,17.8532911818017,100.0,4.847708,0.0,3e-06,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RMM
2894,100.0,100.0,0.0,0.0,111.748125783431,18.2227104582631,100.0,24.26749,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RMN
2895,100.0,100.0,0.0,0.0,114.145154238616,18.6269520944197,100.0,45.019951,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RMP
2896,100.0,100.0,0.0,0.0,116.432618749841,19.0635947348823,100.0,65.645385,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RMQ
2897,100.0,100.0,0.0,0.0,113.305678257604,17.402036568892,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RNN
2898,100.0,100.0,0.0,0.000587,115.801391700772,17.8214184023363,99.999416,0.0,0.0,0.0,0.0,0.0,0.0,20200527T035541_20200527T040014_T47RNP
2899,13.287694,13.287694,0.520094,10.001421,102.33021261892,18.0448281710165,3.147466,49.228349,6.066645,0.005287,0.138806,53.809088,8.244611,20200528T041549_20200528T041843_T46RDQ
2900,36.926217,36.926217,0.179527,27.566203,104.932427361237,18.3138859420674,4.50289,69.925928,3.682313,0.34853,4.857123,54.554093,0.072669,20200528T041549_20200528T041843_T46RDR
2901,67.585912,67.585912,0.305892,53.178698,107.450985926188,18.6209577533361,13.938671,90.547329,2.436781,10.661678,0.468543,13.201687,0.016567,20200528T041549_20200528T041843_T46RDS
2902,18.352454,18.352454,1.118334,15.187573,103.397707262713,17.1787014492901,3.053756,1.7e-05,5.024911,0.15843,0.111124,54.681951,7.542717,20200528T041549_20200528T041843_T46REQ
2903,43.058947,43.058947,0.692287,31.187311,106.131857297894,17.4577595189448,6.504092,3e-06,2.648956,0.151639,5.367544,46.405464,0.135315,20200528T041549_20200528T041843_T46RER
2904,53.492061,53.492061,0.652738,38.129255,108.771445904577,17.7762758173996,14.124776,2.541485,1.852044,9.903512,1.23803,28.971758,0.016045,20200528T041549_20200528T041843_T46RES
2905,55.298519,55.298519,0.656668,25.494075,111.308639843799,18.1318712513368,29.804444,19.580768,7.523732,18.004511,0.0,13.696355,0.133833,20200528T041549_20200528T041843_T46RET
2906,70.169604,70.169604,0.357994,17.50356,113.742185558486,18.5227817736274,52.666044,39.560589,4.385486,11.842066,0.0,9.202124,0.260099,20200528T041549_20200528T041843_T46REU
2907,91.244099,91.244099,0.026494,12.979111,116.068152239166,18.9465803934344,78.264987,59.362406,4.009124,2.806549,0.0,0.175389,0.001813,20200528T041549_20200528T041843_T46REV
