,CLOUD_COVER,CLOUD_COVER_LAND,DATE_ACQUIRED,UTM_ZONE,WRS_PATH,WRS_ROW,Systemindex
269,49.18,49.18,2016/11/27,47,132,40,LC08_132040_20161127
270,0.41,0.41,2016/12/13,47,132,40,LC08_132040_20161213
271,10.4,10.4,2016/12/29,47,132,40,LC08_132040_20161229
272,1.08,1.08,2017/1/14,47,132,40,LC08_132040_20170114
273,34.16,34.16,2017/1/30,47,132,40,LC08_132040_20170130
274,22.69,22.69,2017/2/15,47,132,40,LC08_132040_20170215
275,86.89,86.89,2017/3/3,47,132,40,LC08_132040_20170303
276,88.61,88.61,2017/3/19,47,132,40,LC08_132040_20170319
277,37.21,37.21,2017/4/4,47,132,40,LC08_132040_20170404
278,78.55,78.55,2017/4/20,47,132,40,LC08_132040_20170420
279,27.31,27.31,2017/5/22,47,132,40,LC08_132040_20170522
280,6.44,6.44,2017/6/7,47,132,40,LC08_132040_20170607
281,76.56,76.56,2017/6/23,47,132,40,LC08_132040_20170623
282,76.72,76.72,2017/8/26,47,132,40,LC08_132040_20170826
283,93.34,93.34,2017/9/11,47,132,40,LC08_132040_20170911
284,47.96,47.96,2017/9/27,47,132,40,LC08_132040_20170927
285,79.84,79.84,2017/10/13,47,132,40,LC08_132040_20171013
286,21.71,21.71,2017/10/29,47,132,40,LC08_132040_20171029
287,2.16,2.16,2017/11/14,47,132,40,LC08_132040_20171114
288,13.31,13.31,2017/11/30,47,132,40,LC08_132040_20171130
289,0.79,0.79,2017/12/16,47,132,40,LC08_132040_20171216
290,31.66,31.66,2018/1/1,47,132,40,LC08_132040_20180101
291,1.34,1.34,2018/1/17,47,132,40,LC08_132040_20180117
292,80.31,80.31,2018/2/2,47,132,40,LC08_132040_20180202
293,14.9,14.9,2018/2/18,47,132,40,LC08_132040_20180218
294,91.45,91.45,2018/3/6,47,132,40,LC08_132040_20180306
295,11.81,11.81,2018/3/22,47,132,40,LC08_132040_20180322
296,70.08,70.08,2018/4/7,47,132,40,LC08_132040_20180407
297,14.34,14.34,2018/4/23,47,132,40,LC08_132040_20180423
298,52.51,52.51,2018/5/9,47,132,40,LC08_132040_20180509
299,9.76,9.76,2018/5/25,47,132,40,LC08_132040_20180525
300,59.6,59.6,2018/6/10,47,132,40,LC08_132040_20180610
301,82.48,82.48,2018/6/26,47,132,40,LC08_132040_20180626
302,86.97,86.97,2018/8/13,47,132,40,LC08_132040_20180813
303,76.6,76.6,2018/9/30,47,132,40,LC08_132040_20180930
